,iteration,P_i,C_j
840,4,41,1
841,4,42,1
842,4,43,1
843,4,44,1
844,4,45,1
845,4,46,2
846,4,47,1
847,4,48,1
848,4,49,1
849,4,50,1
850,4,51,1
851,4,52,1
852,4,53,1
853,4,54,1
854,4,55,1
855,4,56,1
856,4,57,1
857,4,58,1
858,4,59,1
859,4,60,1
860,4,61,1
861,4,62,1
862,4,63,1
863,4,64,1
864,4,65,1
865,4,66,1
866,4,67,1
867,4,68,1
868,4,69,1
869,4,70,1
870,4,71,1
871,4,72,1
872,4,73,1
873,4,74,1
874,4,75,1
875,4,76,1
876,4,77,1
877,4,78,1
878,4,79,1
879,4,80,1
880,4,81,1
881,4,82,1
882,4,83,1
883,4,84,1
884,4,85,1
885,4,86,1
886,4,87,1
887,4,88,1
888,4,89,1
889,4,90,1
890,4,91,1
891,4,92,1
892,4,93,1
893,4,94,1
894,4,95,1
895,4,96,1
896,4,97,1
897,4,98,1
898,4,99,1
899,4,100,1
900,4,101,1
901,4,102,1
902,4,103,1
903,4,104,1
904,4,105,1
905,4,106,1
906,4,107,1
907,4,108,1
908,4,109,1
909,4,110,1
910,4,111,1
911,4,112,1
912,4,113,1
913,4,114,1
914,4,115,1
915,4,116,1
916,4,117,1
917,4,118,1
918,4,119,1
919,4,120,1
920,4,121,1
921,4,122,1
922,4,123,1
923,4,124,1
924,4,125,1
925,4,126,1
926,4,127,1
927,4,128,1
928,4,129,1
929,4,130,1
930,4,131,1
931,4,132,1
932,4,133,1
933,4,134,1
934,4,135,1
935,4,136,1
936,4,137,1
937,4,138,1
938,4,139,1
939,4,140,1
940,4,141,1
941,4,142,1
942,4,143,1
943,4,144,1
944,4,145,1
945,4,146,1
946,4,147,1
947,4,148,1
948,4,149,1
949,4,150,1
950,4,151,1
951,4,152,1
952,4,153,1
953,4,154,1
954,4,155,1
955,4,156,1
956,4,157,1
957,4,158,1
958,4,159,1
959,4,160,1
960,4,161,1
961,4,162,1
962,4,163,1
963,4,164,1
964,4,165,1
965,4,166,1
966,4,167,1
967,4,168,1
968,4,169,1
969,4,170,1
970,4,171,1
971,4,172,1
972,4,173,1
973,4,174,1
974,4,175,1
975,4,176,1
